date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2020/6/11,1,1,1,1,1,0,0,0,0
2020/6/12,2,1,2,1,2,0,0,0,0
2020/6/13,0,0,0,0,0,0,0,0,0
2020/6/14,0,0,0,0,0,0,0,0,0
2020/6/15,0,0,0,0,0,0,0,0,0
2020/6/16,0,0,0,0,0,0,0,0,0
2020/6/17,0,0,0,0,0,0,0,0,0
2020/6/18,0,0,0,0,0,0,0,0,0
2020/6/19,0,0,0,0,0,0,0,0,0
2020/6/20,0,0,0,0,0,0,0,0,0
2020/6/21,0,0,0,0,0,0,0,0,0
2020/6/22,0,0,0,0,0,0,0,0,0
2020/6/23,0,0,0,0,0,0,0,0,0
2020/6/24,0,0,0,0,0,0,0,0,0
2020/6/25,0,0,0,0,0,0,0,0,0
2020/6/26,0,0,0,0,0,0,0,0,0
2020/6/27,0,0,0,0,0,0,0,0,0
2020/6/28,0,0,0,0,0,0,0,0,0
2020/6/29,0,0,0,0,0,0,0,0,0
2020/6/30,0,0,0,0,0,0,0,0,0
2020/7/1,0,0,0,0,0,0,0,0,0
2020/7/2,0,0,0,0,0,0,0,0,0
2020/7/3,0,0,0,0,0,0,0,0,0
2020/7/4,0,0,0,0,0,0,0,0,0
2020/7/5,0,0,0,0,0,0,0,0,0
2020/7/6,0,0,0,0,0,0,0,0,0
2020/7/7,0,0,0,0,0,0,0,0,0
2020/7/8,0,0,0,0,0,0,0,0,0
2020/7/9,0,0,0,0,0,0,0,0,0
2020/7/10,1,0,1,0,1,0,0,0,0
2020/7/11,0,0,0,0,0,0,0,0,0
2020/7/12,0,0,0,0,0,0,0,0,0
2020/7/13,0,0,0,0,0,0,0,0,0
2020/7/14,0,0,0,0,0,0,0,0,0
2020/7/15,0,0,0,0,0,0,0,0,0
2020/7/16,0,0,0,0,0,0,0,0,0
2020/7/17,1,1,1,1,1,0,0,0,0
2020/7/18,0,0,0,0,0,0,0,0,0
2020/7/19,0,0,0,0,0,0,0,0,0
2020/7/20,0,0,0,0,0,0,0,0,0
2020/7/21,0,0,0,0,0,0,0,0,0
2020/7/22,0,0,0,0,0,0,0,0,0
